"","IncNodePurity...1","IncNodePurity...2","IncNodePurity...3","IncNodePurity...4","IncNodePurity...5"
"housingMedianAge",81.555755237605,77.2665515136457,94.2320400438006,66.6872423070504,98.8325338083806
"log_medianIncome",1080.00213759775,1251.53681923815,1237.3295850215,985.378117326382,1575.15572962832
"log_averageRooms",216.794064935696,236.419506482944,247.004168429668,154.887988011304,246.468863365341
"log_averageBedrooms",62.8089124981203,70.3458457646112,75.2363336603989,55.4383026597752,77.8207587066322
"log_popPerHouse",245.511736827574,219.991135070067,294.091265905598,163.358242202947,300.662046342852
"log_population",72.5253555297215,83.431341268092,87.8373067512619,62.3531727445014,88.2774542754589
"housingMedianAge_lag10",323.024485133112,520.543479162932,367.198636291651,279.529175672538,384.384511626509
"log_medianIncome_lag10",1405.10900410908,1814.901392173,1666.13662240132,1406.59935964991,1377.91082550263
"log_averageRooms_lag10",275.581414430447,228.456261580132,310.526745192942,137.917004834697,267.292933027964
"log_averageBedrooms_lag10",146.749990132085,108.9511388788,144.807495531443,76.7547109751919,140.723365511187
"log_popPerHouse_lag10",275.82771181511,251.633372558889,468.095806641037,158.937287160597,323.509942096196
"log_population_lag10",133.409853632027,142.056206527951,155.567130496515,82.9816332352446,177.765570061577
