"","IncNodePurity...1","IncNodePurity...2","IncNodePurity...3","IncNodePurity...4","IncNodePurity...5"
"housingMedianAge",118.447913388624,119.869485037805,144.341994254794,114.087915666187,145.685019163702
"log_medianIncome",1169.09270809859,1512.56058451698,1503.73910445666,1276.77010334068,1584.86698817766
"log_averageRooms",261.243782882774,297.977557017604,291.647386358438,188.963799991237,300.724108836281
"log_averageBedrooms",96.9545857422114,115.313243510714,111.335420447715,93.38598481176,126.20255938101
"log_popPerHouse",236.97387295194,247.772037267455,310.078304466084,185.462325650565,274.429965589152
"log_population",106.391507073773,115.955594780026,116.373511889794,89.624370945089,118.278357514383
"housingMedianAge_lag2.5",198.002813506038,302.426742151465,288.844433822468,252.625899218325,271.000057492646
"log_medianIncome_lag2.5",1324.6686723592,1462.915298252,1377.80791533083,928.190769194982,1293.84627918401
"log_averageRooms_lag2.5",316.046233001153,364.85312830545,361.733722665333,181.078548990905,340.333607077407
"log_averageBedrooms_lag2.5",97.5494593227463,102.111754716481,114.599753783751,65.6294206252499,114.29928629843
"log_popPerHouse_lag2.5",288.568033508244,261.231094456103,414.978033321325,170.750489623568,340.477627486871
"log_population_lag2.5",92.7611098220341,87.8845389303435,95.1934712035719,67.5694598227622,124.951606903629
