"","IncNodePurity...1","IncNodePurity...2","IncNodePurity...3","IncNodePurity...4","IncNodePurity...5"
"housingMedianAge",87.600639670514,88.4539358162209,106.261447402164,67.0375817938884,109.826676409305
"log_medianIncome",1027.44627194916,1188.00803074859,1210.32840467583,1016.85445475672,1431.03983030299
"log_averageRooms",304.245515214385,312.018988785968,388.595212730586,174.010170991882,385.080635294032
"log_averageBedrooms",72.6154017761311,80.5628455825277,86.2322094367174,53.936646197963,100.990643452124
"log_popPerHouse",301.252222597475,262.135906346919,416.152583652337,170.110728895289,365.7086070847
"log_population",70.855658987693,81.5632290592683,87.9487505180178,56.9025097168447,88.3007862352065
"housingMedianAge_lag20",368.905620493078,454.259895769938,428.402396859122,290.363499498875,372.277024658827
"log_medianIncome_lag20",1127.56753467335,1512.88691935648,1296.83102520257,1177.58757106242,1064.73979810224
"log_averageRooms_lag20",239.889186710646,321.93587597794,266.837319402807,149.926826391223,296.819215186263
"log_averageBedrooms_lag20",218.548531103035,219.422131641927,248.956816242465,185.298152432913,293.701331916116
"log_popPerHouse_lag20",181.613396004723,195.129311272453,311.10518495029,141.96192890705,204.459214279872
"log_population_lag20",304.999782760685,273.536172543143,278.051206562955,142.377354195382,323.490852754831
