"","IncNodePurity...1","IncNodePurity...2","IncNodePurity...3","IncNodePurity...4","IncNodePurity...5"
"housingMedianAge",82.2852258881849,73.3787983491838,93.3701863236992,59.0616077593086,98.9506432552948
"log_medianIncome",1059.61868852033,1279.94954155071,1324.60506076714,1041.18060252006,1715.19055677726
"log_averageRooms",270.404526477878,230.918340975024,299.305076095744,134.210842583792,278.870647915367
"log_averageBedrooms",66.873152646336,68.6326095262545,72.1049839360512,48.1753837210685,80.3914371729784
"log_popPerHouse",304.042367522233,263.205378481749,421.613381510315,172.861122784374,398.295740696951
"log_population",68.1792277466021,77.389665775269,85.3735396642776,56.6799728957134,85.3365090182466
"housingMedianAge_lag20",372.712179471631,443.649894142027,401.834338580786,251.273022739262,370.973203374522
"log_medianIncome_lag20",1259.85260641767,1779.58691843892,1578.6862247479,1393.78212951334,1172.82627986768
"log_averageRooms_lag20",225.852649211242,282.503018589661,272.465913318299,145.850717590787,289.925642333451
"log_averageBedrooms_lag20",182.985260315445,175.961632835404,171.484209136854,130.979351757796,195.456784464721
"log_popPerHouse_lag20",162.20189496935,133.143088362272,218.250398621629,96.7524780179482,150.295550419274
"log_population_lag20",261.607370745829,199.488680009275,207.555148204328,102.656351141419,219.751056978302
