"","IncNodePurity...1","IncNodePurity...2","IncNodePurity...3","IncNodePurity...4","IncNodePurity...5"
"housingMedianAge",93.738289599063,90.7419805923149,107.891572814282,89.0920211699459,111.68296945301
"log_medianIncome",1073.65638089832,1291.24491427395,1271.61945018791,1014.90354543864,1374.86847639407
"log_averageRooms",260.463942782333,254.369562142238,236.678696019896,151.943378960605,251.257580662009
"log_averageBedrooms",76.4643863518391,85.3977647660928,84.3724800720061,68.2590850842666,92.0000551540334
"log_popPerHouse",229.278762783928,206.451171564338,273.532337454077,157.349248298424,266.475095453356
"log_population",84.9903992272453,94.6325026934313,99.5879517056763,73.1796682060002,98.2787086607246
"housingMedianAge_lag5",247.871061401248,372.39420744765,315.671349946731,288.84108224575,334.597316395808
"log_medianIncome_lag5",1368.76302334901,1805.29321851635,1685.38992680179,1338.78878208061,1620.85112430177
"log_averageRooms_lag5",299.480665624433,306.735212716699,367.502940513375,152.192655822883,304.061039532019
"log_averageBedrooms_lag5",117.567055882837,95.5951748837639,120.585219931101,70.1442384484648,119.366304414544
"log_popPerHouse_lag5",288.931085875502,284.505523285701,448.143103833237,149.229894532199,331.061776418423
"log_population_lag5",168.517783521646,116.269706708625,129.928054527414,73.0340238588304,149.960452060963
