longitude,latitude,housingMedianAge,log_medianHouseValue,log_medianIncome,log_averageRooms,log_averageBedrooms,log_popPerHouse,log_population
-122.23,37.88,41.0,13.022764012181574,2.1192870596019593,1.9436400005207741,0.023530497410194036,0.9382696385929302,5.7745515455444085
-122.22,37.86,21.0,12.789683939021812,2.11642417527737,1.8306815933531095,-0.02852243260399614,0.7466129815349769,7.783640596221253
-122.24,37.85,52.0,12.771670505143144,1.9820216379722526,2.1148250455691526,0.07087433958665709,1.0304261941510984,6.206575926724928
-122.25,37.85,52.0,12.740517134894798,1.7304335599003393,1.7608451063156079,0.07051378432765813,0.9352872325648101,6.324358962381311
-122.25,37.85,52.0,12.74315064044023,1.3470856478946098,1.8376650455195,0.07796154146971192,0.7799976694469031,6.336825731146441
-122.25,37.85,52.0,12.505065509127821,1.3954522989046563,1.5605959334508015,0.0986019768045395,0.7607574040561472,6.023447592961033
-122.25,37.84,52.0,12.60886752508246,1.2972172155351653,1.5957256505701185,-0.049860775980293134,0.7553727175267614,6.9975959829819265
-122.25,37.84,52.0,12.394210587645569,1.1378330018213911,1.5681005868022089,0.0599879977214488,0.581239432692776,7.053585727193677
-122.26,37.84,42.0,12.33138283649562,0.7325601829167804,1.457246097092175,0.1112256351102244,0.7065029717415009,7.095064377287131
-122.25,37.84,52.0,12.47265875468722,1.3059516084373521,1.6035381903069121,-0.009852296443011594,0.7757722008369543,7.346655163176539
-122.26,37.85,52.0,12.547887726561882,1.1641190908702292,1.700669228663604,0.07659244548138387,0.8169925108918745,6.813444599510896
-122.26,37.85,52.0,12.39586621716283,1.1849428784191305,1.5628659945829713,0.02422729533532427,0.7173744758952696,7.315883504509785
-122.26,37.85,52.0,12.271392111650817,1.1233049012584813,1.6719712193445337,0.012739025777429712,0.8527773261518292,7.001245622069476
-122.26,37.84,52.0,12.161598155428344,0.9834258788589922,1.3862943611198906,0.09321812883210079,0.6844891178168307,5.84354441703136
